AMI_Percentage,Size_1,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8
30,19551,22344,25137,27930,30164,32399,34633,36868
40,26068,29792,33516,37240,40219,43198,46178,49157
50,32585,37240,41895,46550,50274,53998,57722,61446
60,39102,44688,50274,55860,60329,64798,69266,73735
70,45619,52136,58653,65170,70384,75597,80811,86025
80,52136,59584,67032,74480,80438,86397,92355,98314
90,58653,67032,75411,83790,90493,97196,103899,110603
100,65170,74480,83790,93100,100548,107996,115444,122892
110,71687,81928,92169,102410,110603,118796,126988,135181
115,74946,85652,96359,107065,115630,124195,132761,141326
125,81463,93100,104738,116375,125685,134995,144305,153615
150,97755,111720,125685,139650,150822,161994,173166,184338
175,114048,130340,146633,162925,175959,188993,202027,215061
200,130340,148960,167580,186200,201096,215992,230888,245784
